-1.50,,2.1,,,
-1.40,,2.0,,,
-1.30,,2.0,,,
-1.20,,1.8,,,
-1.10,,1.8,,,
-1.00,7.2,1.6,,,
-0.90,6.5,1.6,,,
-0.80,6.2,1.4,,,
-0.70,5.8,1.4,,,
-0.60,5.4,1.2,,,
-0.50,5.0,1.2,,,
-0.40,4.6,1.0,,,
-0.30,4.2,0.9,,,
-0.20,3.8,0.8,,,
-0.10,3.1,0.6,,,
0.00,2.8,0.5,6.7,13.0,6.4
0.10,2.2,0.4,5.7,12.0,5.8
0.15,,,,,5.6
0.20,1.6,0.3,4.6,10.5,5.2
0.25,,,3.7,,4.9
0.30,0.8,0.2,2.9,9.0,4.6
0.35,,,2.2,,
0.40,0.4,0.0,1.4,7.6,3.9
0.45,,,1.0,,
0.50,0.1,,0.5,6.8,2.8
0.60,0.0,,0.1,4.4,2.4
0.70,,,0.0,3.0,2.0
0.80,,,,2.0,1.4
0.90,,,,1.0,1.0
1.00,,,,0.4,0.6
1.10,,,,,0.3
1.15,,,,0.0,
1.20,,,,,0.1
1.30,,,,,0.0
